,all,pc,wise
2021-05-31,113649,25975,87674
2021-06-01,49542,7930,41612
2021-06-02,18836,3668,15168
2021-06-03,11200,1992,9208
2021-06-04,7331,1389,5942
2021-06-05,7123,1175,5948
2021-06-06,5089,885,4204
2021-06-07,3770,959,2811
2021-06-08,2984,871,2113
2021-06-09,2768,862,1906
2021-06-10,2587,849,1738
2021-06-11,2121,639,1482
2021-06-12,1763,378,1385
2021-06-13,1732,377,1355
2021-06-14,1752,403,1349
2021-06-15,2030,687,1343
2021-06-16,1756,609,1147
2021-06-17,1645,603,1042
2021-06-18,1584,571,1013
2021-06-19,1541,461,1080
2021-06-20,1369,355,1014
2021-06-21,1591,585,1006
2021-06-22,1472,495,977
2021-06-23,1414,459,955
2021-06-24,1339,411,928
2021-06-25,1425,501,924
2021-06-26,1209,285,924
2021-06-27,1189,290,899
2021-06-28,1292,411,881
2021-06-29,1273,383,890
2021-06-30,1247,369,878
2021-07-01,1116,253,863
2021-07-02,1159,305,854
2021-07-03,1126,250,876
2021-07-04,1045,182,863
2021-07-05,1225,349,876
2021-07-06,1111,264,847
2021-07-07,1205,352,853
2021-07-08,1107,278,829
2021-07-09,1057,264,793
2021-07-10,920,165,755
2021-07-11,910,162,748
2021-07-12,1067,285,782
2021-07-13,1004,239,765
2021-07-14,1120,333,787
2021-07-15,988,271,717
2021-07-16,904,233,671
2021-07-17,876,180,696
2021-07-18,850,161,689
2021-07-19,859,220,639
2021-07-20,3294,897,2397
2021-07-21,2797,910,1887
2021-07-22,1501,532,969
2021-07-23,1324,400,924
2021-07-24,1130,240,890
2021-07-25,1076,225,851
2021-07-26,1194,347,847
2021-07-27,1269,385,884
2021-07-28,1602,625,977
2021-07-29,1396,481,915
2021-07-30,1318,403,915
2021-07-31,1079,211,868
2021-08-01,1021,195,826
2021-08-02,1087,332,755
2021-08-03,1153,332,821
2021-08-04,1195,397,798
2021-08-05,1504,549,955
2021-08-06,1265,377,888
2021-08-07,1063,212,851
2021-08-08,969,182,787
2021-08-09,1189,349,840
2021-08-10,1151,309,842
2021-08-11,1108,268,840
2021-08-12,1066,273,793
2021-08-13,1248,399,849
2021-08-14,1043,200,843
2021-08-15,889,169,720
2021-08-16,1543,605,938
2021-08-17,1673,724,949
2021-08-18,1597,614,983
2021-08-19,1426,499,927
2021-08-20,3282,925,2357
2021-08-21,1964,533,1431
2021-08-22,1408,408,1000
2021-08-23,1560,620,940
2021-08-24,1444,554,890
2021-08-25,1262,403,859
2021-08-26,1280,409,871
2021-08-27,1170,324,846
2021-08-28,968,202,766
2021-08-29,944,208,736
2021-08-30,1176,360,816
2021-08-31,1181,352,829
2021-09-01,1064,394,670
2021-09-02,1080,305,775
2021-09-03,964,265,699
2021-09-04,876,177,699
2021-09-05,863,183,680
2021-09-06,949,285,664
2021-09-07,931,240,691
2021-09-08,904,262,642
2021-09-09,935,278,657
2021-09-10,1069,377,692
2021-09-11,803,168,635
2021-09-12,885,166,719
2021-09-13,939,268,671
2021-09-14,1216,453,763
2021-09-15,1126,304,822
2021-09-16,978,304,674
2021-09-17,887,298,589
2021-09-18,879,228,651
2021-09-19,785,168,617
2021-09-20,728,150,578
2021-09-21,770,163,607
2021-09-22,852,257,595
2021-09-23,816,259,557
2021-09-24,750,231,519
2021-09-25,683,182,501
2021-09-26,819,295,524
2021-09-27,829,278,551
2021-09-28,804,264,540
2021-09-29,731,240,491
2021-09-30,655,182,473
2021-10-01,485,104,381
2021-10-02,543,123,420
2021-10-03,484,104,380
2021-10-04,596,144,452
2021-10-05,588,127,461
2021-10-06,580,151,429
2021-10-07,596,180,416
2021-10-08,670,231,439
2021-10-09,633,204,429
2021-10-10,565,158,407
2021-10-11,641,243,398
2021-10-12,657,234,423
2021-10-13,628,183,445
2021-10-14,620,205,415
2021-10-15,575,169,406
2021-10-16,564,184,380
2021-10-17,506,125,381
2021-10-18,656,219,437
2021-10-19,604,213,391
2021-10-20,656,215,441
2021-10-21,604,188,416
2021-10-22,608,195,413
2021-10-23,475,137,338
2021-10-24,557,163,394
2021-10-25,604,200,404
2021-10-26,606,218,388
2021-10-27,626,200,426
2021-10-28,555,194,361
2021-10-29,568,191,377
2021-10-30,485,140,345
2021-10-31,492,108,384
2021-11-01,619,205,414
2021-11-02,578,166,412
2021-11-03,507,170,337
2021-11-04,559,179,380
2021-11-05,483,148,335
2021-11-06,437,93,344
2021-11-07,464,133,331
2021-11-08,546,173,373
2021-11-09,584,205,379
2021-11-10,523,176,347
2021-11-11,544,204,340
2021-11-12,596,219,377
2021-11-13,504,131,373
2021-11-14,501,131,370
2021-11-15,576,177,399
2021-11-16,546,163,383
2021-11-17,575,184,391
2021-11-18,587,180,407
2021-11-19,630,201,429
2021-11-20,585,152,433
2021-11-21,608,162,446
2021-11-22,712,247,465
2021-11-23,618,216,402
2021-11-24,771,293,478
2021-11-25,831,288,543
2021-11-26,846,257,589
2021-11-27,599,144,455
2021-11-28,649,183,466
2021-11-29,726,251,475
2021-11-30,723,222,501
2021-12-01,645,220,425
